"","id","Authors_Num","Countries_Unique_Num","FRES_Title","FLESCH_Title","numCharTitle_all","numCharTitle_onlyAlpha","numCharTitle_nonAlpha","nonAlphaCharTitle_isExist","numWordTitle","numABV_Title","binABV_Title","numSentAbstract","numABV_Abstract","binABV_Abstract","PaperAge","numLexVerb","numSylGreaThan2","numPage","Year","Cited by","FRES_Abstract","FLESCH_Abstract","isFunding","keywordsListedAlpha","numKeywords","Quartile","J_or_C","CitationMetric_1","CitationMetric_2","CitationMetric_3","CitationMetric_4_CB","CitationMetric_4a_CM2","CitationMetric_4b_CM3","CitationMetric_5_CB","CitationMetric_5a_CM2","CitationMetric_5b_CM3","Dominant_Topic","single_quote_mark","parenthesis_mark","hyphen_mark","period_mark","slash_mark","colon_mark","question_mark","presenceColon","avgPunctuation","numPreposition","numFreqLexItems_connectives","numFreqLexItems_action_markers","numFreqLexItems_closing","numTitleSubstantiveWordsWoutStopwords","numTitleSubstantiveWordsWithStopwords","numAbstractSubstantiveWordsWoutStopwords","numAbstractSubstantiveWordsWithStopwords","presenceInitialPosition_a","presenceInitialPosition_a_or_the","presenceInitialPosition_ing"
"12",48308,4,2,0.08,16.2,105,92,2,1,12,0,0,9,14,0,3,3,4,18,2017,2,32.53,14.1,1,1,5,1,1,33.5155506632586,0.666666666666667,1.09861228866811,0.262065589818894,0.262065589818894,0.673222065448574,0.240483383685801,0.2404833836858,0.640648338067428,0,0,2,3,9,0,3,0,1,0.85,25,0,0,0,12,11,115,107,0,0,1
"13",9128,3,1,36.96,10.3,64,56,0,0,9,0,0,5,1,0,5,1,2,0,2015,0,30.6,14.9,0,1,4,0,0,9.49644582921323,0,0,0,0,0,0,0,0,14,1,0,2,5,0,0,0,0,0.4,12,0,0,0,7,7,69,64,1,1,0
"14",43511,1,1,-63.55,24.1,82,74,1,1,8,0,0,16,0,0,7,2,5,21,2013,37,18.45,15.4,1,1,6,1,1,88.3822459374242,5.28571428571429,3.63758615972639,2.16852483385799,2.16852483385799,1.7755618382825,1.91093940626271,1.91093940626271,1.56259741799441,10,0,2,3,20,0,0,0,0,1.25,29,0,0,0,8,8,185,168,0,0,0
"15",31963,2,1,29.52,11.1,58,50,1,1,8,0,0,4,0,0,37,2,2,8,1983,9,0.62,18.1,0,1,3,1,1,63.328606876994,0.243243243243243,2.30258509299405,0.468724832214765,0.468724832214765,1.36066382595081,0.431734317343173,0.431734317343174,0.990870476079349,7,0,0,2,4,0,0,1,0,0.35,9,0,0,0,6,6,49,46,0,0,1
"16",1421,2,1,21.06,12.3,68,59,2,1,8,0,0,11,2,0,4,2,4,12,2016,0,24.58,15.1,0,1,5,0,0,9.49644582921323,0,0,0,0,0,0,0,0,6,1,0,13,12,0,0,0,0,1.3,25,0,2,0,6,6,150,140,0,0,0
"17",20091,2,1,29.52,11.1,53,45,1,1,8,0,0,7,6,0,0,0,3,9,2020,0,43.73,11.9,1,1,3,0,0,9.49644582921323,0,0,0,NA,0,0,NA,0,1,0,1,1,11,0,0,0,0,0.85,12,0,0,0,6,6,86,80,0,0,0
"18",18738,5,4,30.87,12.7,107,93,0,0,15,2,1,5,10,1,13,2,5,8,2007,0,29.18,15.4,0,0,10,0,0,9.49644582921323,0,0,0,0,0,0,0,0,12,0,1,5,7,0,0,0,0,0.65,16,0,0,0,11,11,79,74,0,0,0
"19",41919,1,1,-35.13,19.4,52,48,0,0,5,0,0,4,2,0,17,1,3,0,2003,0,46.78,10.7,0,0,7,1,1,9.49644582921323,0,0,0,0,0,0,0,0,14,1,0,0,4,0,0,0,0,0.25,8,0,0,0,4,4,39,38,0,0,1
"20",22078,6,3,53.88,8,55,47,0,0,9,1,1,3,4,1,10,0,2,2,2010,11,36.59,12.6,0,1,1,0,0,67.6365230694603,1.1,2.484906649788,0.612914766121098,0.6129147661211,1.22905273777251,1.1172373766686,1.1172373766686,1.69776371932221,11,0,0,1,3,0,0,0,0,0.2,5,0,0,0,6,6,38,38,0,0,0
"21",43162,3,2,18.01,13.5,84,72,2,1,11,0,0,8,0,0,4,1,3,19,2016,6,5.73,18.2,1,1,4,1,1,54.5523237373831,1.5,1.94591014905531,0.571927526740886,0.571927526740886,1.09770564502789,0.692511013215859,0.692511013215859,1.07898030727766,8,0,0,9,8,0,0,0,0,0.85,20,1,0,0,9,8,124,113,1,1,0
"22",43786,3,1,7.52,15.4,90,78,0,0,13,0,0,9,1,0,9,3,2,21,2011,28,30.4,14.9,0,1,3,1,1,84.5137036138734,3.11111111111111,3.36729582998647,1.63659919716246,1.63659919716246,1.72368983517629,1.37741485759809,1.37741485759809,2.11145474491895,12,3,1,0,10,1,5,0,1,1,26,1,0,0,10,10,119,110,0,0,1
"23",16723,2,1,29.52,11.1,50,43,0,0,8,0,0,4,3,0,12,0,2,6,2008,1,33.75,13.6,0,0,16,0,0,24.2924308289334,0.0833333333333333,0.693147180559945,0.0506866714297055,0.0506866714297055,0.341961609536078,0.115618661257607,0.115618661257607,0.447170348126589,4,0,1,1,4,0,0,0,0,0.4,9,0,1,0,5,5,50,46,0,1,0
"24",11092,4,2,45.42,9.2,66,57,1,1,9,0,0,7,1,0,7,2,3,4,2013,0,36.39,12.6,0,1,6,0,0,9.49644582921323,0,0,0,0,0,0,0,0,11,0,1,0,7,0,0,0,0,0.4,20,0,1,0,8,8,79,73,0,0,0
"25",5948,3,1,-0.95,16.6,99,87,0,0,13,0,0,5,0,0,1,2,6,6,2019,0,8.61,19.2,1,1,4,0,1,9.49644582921323,0,0,0,0,0,0,0,0,14,0,0,3,5,0,0,0,0,0.4,17,0,1,0,10,9,88,78,0,0,1
"26",26372,1,1,55.91,7.2,52,46,0,0,7,0,0,3,0,0,14,1,1,9,2006,20,25.42,16.8,0,0,8,0,0,79.1311405063527,1.42857142857143,3.04452243772342,0.874221777177935,0.874221777177936,1.42304708905393,0.877598152424942,0.877598152424942,1.56084245446559,13,0,0,1,3,0,0,0,0,0.2,10,0,0,0,6,6,57,51,0,0,0
"27",50182,2,1,15.64,12.3,49,44,1,1,5,0,0,4,0,0,12,2,2,15,2008,95,5.53,18.3,0,1,3,1,1,96.6146756469337,7.91666666666667,4.56434819146784,4.81523378582202,4.81523378582202,2.25180437548132,6.72235872235872,6.72235872235872,2.62582105762309,13,0,0,2,4,0,0,0,0,0.3,10,0,0,0,5,5,59,52,0,0,0
"28",765,2,1,6.17,13.9,47,42,0,0,6,0,0,9,8,0,9,0,3,0,2011,13,43.43,12,0,1,2,0,0,71.0489001660479,1.44444444444444,2.63905732961526,0.759849627253998,0.759849627253998,1.3509107970248,0.914389067524116,0.914389067524115,1.32601429575519,8,0,1,1,9,0,0,0,0,0.55,21,1,0,0,5,5,102,90,0,0,0
"29",7009,2,1,6.17,13.9,50,45,0,0,6,0,0,10,1,0,3,1,2,5,2017,1,18.05,15.5,0,1,4,0,1,24.2924308289334,0.333333333333333,0.693147180559945,0.131032794909447,0.131032794909447,0.424755831852337,0.192448233861145,0.192448233861145,0.560341620315531,11,0,0,1,10,0,0,0,0,0.55,21,0,0,1,5,5,135,125,0,0,0
"30",27830,3,1,5.15,14.3,54,46,2,1,7,0,0,4,0,0,11,1,3,4,2009,1,24.78,15,0,0,16,0,0,24.2924308289334,0.0909090909090909,0.693147180559945,0.0438352781379268,0.0438352781379268,0.314250920355521,0.0703384207033842,0.0703384207033842,0.374804683683861,13,0,0,1,5,0,0,0,0,0.4,10,0,1,0,4,4,58,54,0,0,1
"31",16534,2,1,-21.25,18.2,66,59,0,0,8,0,0,7,2,0,11,0,3,8,2009,1,28.94,13.4,0,1,5,0,0,24.2924308289334,0.0909090909090909,0.693147180559945,0.0438352781379268,0.0438352781379268,0.314250920355521,0.0481586402266289,0.0481586402266289,0.307188182214922,7,0,0,0,7,0,0,0,0,0.35,10,1,0,1,6,6,71,59,0,0,0
"32",11684,2,1,37.98,10,53,46,0,0,8,0,0,7,1,0,8,2,1,4,2012,0,33,11.9,0,1,4,0,0,9.49644582921323,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0.35,12,0,0,0,6,6,57,56,0,0,0
"33",42467,4,1,15.64,12.3,40,35,1,1,5,0,0,3,0,0,25,0,1,9,1995,63,22.41,13.9,1,0,20,1,1,93.8459672755089,2.52,4.15888308335967,2.03759592110007,2.03759592110007,1.72909717023633,4.54003558718861,4.54003558718861,2.20525925562225,15,0,0,1,4,0,0,0,0,0.25,5,0,0,0,4,4,29,27,0,0,0
"34",18424,4,3,-18.21,17,46,41,1,1,5,0,0,4,0,0,13,0,3,6,2007,15,-0.74,22.8,0,0,10,0,0,73.8278699229463,1.15384615384615,2.77258872223978,0.792377234435998,0.792377234435997,1.46137216470965,0.48,0.48,1.2232814172831,10,0,0,1,4,0,0,1,0,0.3,28,1,0,1,4,4,85,77,0,0,0
"35",23836,11,3,36.96,10.3,77,66,3,1,9,0,0,6,0,0,3,0,2,4,2017,13,28.54,13.6,1,1,5,0,0,71.0489001660479,4.33333333333333,2.63905732961526,1.70342633382281,1.70342633382281,1.61719620707567,1.52190974493133,1.52190974493133,1.59776976831988,2,0,0,3,6,0,0,0,0,0.45,15,0,1,0,8,8,65,60,0,0,0
"36",13100,4,2,3.12,15.1,73,65,0,0,9,0,0,9,3,0,9,0,4,8,2011,0,15.91,16.4,0,1,4,0,0,9.49644582921323,0,0,0,0,0,0,0,0,2,0,0,3,12,0,0,0,0,0.75,30,0,0,0,7,6,120,110,0,0,0
"37",47795,2,1,-15.84,18.2,83,73,0,0,11,1,1,5,2,1,14,1,6,22,2006,1,20.31,16.7,0,1,4,1,1,24.2924308289334,0.0714285714285714,0.693147180559945,0.0437110888588968,0.0437110888588968,0.323985484672383,0.0412224591329069,0.0412224591329069,0.318050512860511,8,0,1,0,5,0,0,0,0,0.3,13,0,1,0,8,8,68,60,0,0,1
"38",29460,11,2,28.84,13.5,112,95,1,1,17,0,0,8,0,0,6,2,5,17,2014,18,38.76,13.8,0,1,3,1,1,77.1852086792664,3,2.94443897916644,1.39741420976317,1.39741420976317,1.57810031232206,1.07560975609756,1.07560975609756,1.31581723003083,5,2,0,11,8,0,2,2,1,1.25,21,0,1,0,13,11,117,103,0,0,0
"39",17384,2,1,22.07,11.9,52,44,1,1,8,1,1,3,7,1,12,1,2,6,2008,0,-18.54,27.5,0,0,7,0,0,9.49644582921323,0,0,0,0,0,0,0,0,2,0,1,2,4,0,0,0,0,0.35,12,0,0,0,5,5,93,87,0,0,0
"40",86,2,1,-45.62,21.4,58,52,0,0,7,0,0,9,4,0,1,1,4,5,2019,0,24.88,15,1,1,4,0,0,9.49644582921323,0,0,0,0,0,0,0,0,8,0,0,2,9,0,0,0,0,0.55,20,3,1,0,5,5,110,97,0,0,1
"41",18239,1,1,36.96,10.3,70,61,1,1,9,0,0,10,0,0,16,1,2,10,2004,6,37.6,12.2,0,1,3,0,0,54.5523237373831,0.375,1.94591014905531,0.202409638554217,0.202409638554217,0.862479182873947,0.214199759326113,0.214199759326113,0.814529972838462,10,0,0,0,10,0,0,0,0,0.5,20,3,0,0,8,8,98,88,0,0,0
"42",51959,2,1,-15.84,18.2,84,74,0,0,11,0,0,6,2,0,31,0,5,12,1989,13,16.12,16.3,1,0,4,1,1,71.0489001660479,0.419354838709677,2.63905732961526,0.872444444444444,0.872444444444446,1.61004762101322,0.445431472081218,0.445431472081218,0.996697498969212,10,0,0,1,6,0,0,0,0,0.35,12,0,0,0,7,7,85,78,1,1,0
"43",16976,3,1,29.52,11.1,55,47,1,1,8,1,1,10,9,1,12,0,3,10,2008,91,26.2,14.5,0,1,3,0,0,96.3665366891173,7.58333333333333,4.52178857704904,4.6124871001032,4.6124871001032,2.23080774640158,3.54396984924623,3.54396984924623,1.85938504393714,6,0,2,3,10,0,1,0,1,0.9,15,0,0,0,6,6,127,112,0,0,0
"44",30562,3,2,6.17,13.9,56,49,2,1,6,1,1,9,7,1,24,3,3,21,1996,6,-0.27,20.5,1,1,5,1,1,54.5523237373831,0.25,1.94591014905531,0.187855479118141,0.187855479118141,0.881930146008091,0.392578125,0.392578125,1.11580517853258,3,2,1,6,9,0,0,0,0,0.9,21,1,0,1,5,5,175,158,0,0,0
"45",46082,3,1,7.52,15.4,105,92,1,1,13,0,0,7,1,0,7,3,5,10,2013,8,14.7,16.8,0,1,11,1,1,60.7781861601896,1.14285714285714,2.19722457733622,0.468870234347674,0.468870234347674,1.07249916245229,0.642911296436694,0.642911296436695,1.1496782494253,8,0,0,6,8,0,0,0,0,0.7,24,1,1,0,9,9,104,96,0,0,1
"46",18265,3,2,-75.4,24.5,35,32,1,1,3,0,0,8,4,0,16,1,2,9,2004,452,24.68,15.1,0,0,14,0,0,99.7686524002314,28.25,6.11589212548303,15.2481927710843,15.2481927710843,2.71072620978548,14.9488875526157,14.9488875526157,2.62874099092046,14,0,1,3,10,0,4,0,1,0.9,23,1,0,0,4,4,104,98,0,0,0
"47",5612,1,1,37.98,10,65,54,3,1,9,0,0,8,7,0,34,1,1,6,1986,0,56.66,9,0,0,8,0,0,9.49644582921323,0,0,0,0,0,0,0,0,15,0,0,3,8,0,0,0,0,0.55,19,0,0,0,7,7,72,59,0,0,0
"48",4385,2,1,63.36,6.4,51,44,0,0,8,0,0,7,0,0,18,0,1,8,2002,54,33.34,13.8,0,1,2,0,0,92.4895986865427,3,4.00733318523247,1.45395032072433,1.45395032072433,1.52307720960749,1.2791095890411,1.2791095890411,1.35646585423717,10,0,0,1,7,0,0,0,0,0.4,20,1,0,0,6,6,95,85,0,0,0
"49",35815,2,2,53.88,8,49,40,1,1,9,0,0,3,0,0,40,0,2,17,1980,0,27.79,18,0,0,6,2,1,9.49644582921323,0,0,0,0,0,0,0,0,11,0,0,3,3,0,0,2,0,0.4,14,0,0,0,5,5,63,59,0,0,0
"50",1753,3,1,33.58,9.6,32,29,0,0,4,0,0,9,0,0,12,1,1,11,2008,111,37.2,12.3,0,1,3,0,0,97.2937927946417,9.25,4.71849887129509,5.62622052869731,5.62622052869731,2.32785404583016,3.76663507109005,3.76663507109005,1.94395103189041,10,0,0,3,10,0,0,0,0,0.75,21,0,0,0,4,4,95,90,0,0,1
"51",29921,2,1,-1.29,14.7,42,37,1,1,5,0,0,6,5,0,14,1,2,15,2006,11,12.56,17.6,0,1,5,1,1,67.6365230694603,0.785714285714286,2.484906649788,0.480821977447864,0.480821977447865,1.16147581332846,0.510385756676558,0.510385756676558,1.17878462427833,7,1,0,5,6,0,0,1,0,0.65,13,1,0,0,5,5,91,85,0,0,0
"52",6475,2,1,-38.17,20.6,74,64,3,1,8,0,0,9,0,0,1,2,2,6,2019,0,17.23,15.8,0,1,5,0,1,9.49644582921323,0,0,0,0,0,0,0,0,2,1,0,4,10,0,0,0,0,0.75,20,1,0,0,8,8,122,111,0,0,0
"53",38804,4,1,-21.25,18.2,75,68,0,0,8,0,0,4,5,0,16,2,3,17,2004,7,19.2,17.2,1,1,3,4,1,57.8770126308327,0.4375,2.07944154167984,0.236144578313253,0.236144578313253,0.921663851012262,0.213478915662651,0.213478915662651,0.840915313485358,9,0,0,1,4,0,0,0,0,0.35,14,0,1,0,7,7,65,61,0,0,1
"54",1068,3,1,44.41,9.6,66,56,1,1,10,1,1,6,1,1,12,0,3,15,2008,9,-2.13,19.1,0,0,16,0,0,63.328606876994,0.75,2.30258509299405,0.456180042867349,0.45618004286735,1.1359718780908,0.636855036855037,0.636855036855037,1.32465275884407,13,0,0,2,6,0,0,0,0,0.5,15,0,0,0,6,6,88,81,0,0,0
"55",26272,2,1,-6.36,16.6,86,76,1,1,10,1,1,4,5,1,12,1,5,5,2008,20,22.24,16,0,0,12,0,0,79.1311405063527,1.66666666666667,3.04452243772342,1.01373342859411,1.01373342859411,1.50200393548678,0.778894472361809,0.778894472361809,1.2519248501283,6,0,0,1,4,0,0,0,0,0.25,8,0,0,0,9,9,63,59,0,0,0
"56",52648,1,1,-22.27,18.6,73,65,0,0,9,0,0,8,0,0,17,2,5,35,2003,0,23.87,15.4,0,1,5,2,1,9.49644582921323,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0.5,13,1,0,1,7,7,109,98,1,1,0
"57",52839,3,3,31.55,10.4,52,46,1,1,6,0,0,5,5,0,22,1,1,9,1998,6,26.81,14.2,0,0,12,2,1,54.5523237373831,0.272727272727273,1.94591014905531,0.194156804733728,0.194156804733728,0.779284105047952,0.251725969198088,0.251725969198088,0.834082835336984,3,1,2,2,6,0,0,0,0,0.55,13,0,1,0,6,6,61,55,0,0,0
"58",34690,2,1,-12.79,17,67,60,0,0,8,0,0,5,0,0,25,1,5,24,1995,9,25.19,14.9,0,1,6,2,1,63.328606876994,0.36,2.30258509299405,0.291085131585724,0.291085131585724,0.957322744766385,0.347294117647059,0.347294117647059,0.987615230855174,3,0,0,0,5,1,0,3,0,0.45,13,1,0,0,6,6,62,57,0,0,1
"59",16496,2,1,75.88,3.7,25,22,0,0,4,1,1,4,3,1,11,1,1,10,2009,8,26.51,14.4,0,0,7,0,0,60.7781861601896,0.727272727272727,2.19722457733622,0.350682225103414,0.350682225103415,0.996151849161225,0.483965014577259,0.48396501457726,1.02820038913925,3,0,0,0,4,0,0,0,0,0.2,11,0,1,0,3,3,44,42,0,0,1
"60",17556,3,1,18.01,13.5,82,71,1,1,11,0,0,6,0,0,12,0,2,7,2008,10,30.06,13,0,1,5,0,0,65.6066344521353,0.833333333333333,2.39789527279837,0.506866714297055,0.506866714297055,1.18299280438921,0.347038019451813,0.347038019451813,0.943611542920601,5,0,0,1,6,0,0,0,0,0.35,9,1,2,0,7,7,64,61,0,0,0
"61",48822,3,2,53.88,8,66,54,3,1,10,0,0,8,0,0,5,3,2,9,2015,2,52.39,10.6,1,1,3,1,1,33.5155506632586,0.4,1.09861228866811,0.169200304645849,0.16920030464585,0.608230379478615,0.172453262113697,0.172453262113697,0.608330252075383,2,2,0,2,8,0,0,0,0,0.6,19,0,0,0,6,4,92,83,0,0,0
"62",42838,3,2,8.2,13.1,38,33,2,1,4,1,1,12,14,1,1,1,1,13,2019,2,40.69,13.1,1,1,5,1,1,33.5155506632586,2,1.09861228866811,1.89066747206282,1.89066747206282,2.50699070903847,1.44843049327354,1.44843049327354,2.06656314467007,5,0,1,3,12,0,5,0,1,1.05,24,2,0,1,5,5,168,150,0,0,0
"63",8236,3,1,-39.19,21,81,72,1,1,9,0,0,5,2,0,4,1,6,8,2016,0,-1.28,20.9,0,1,5,0,0,9.49644582921323,0,0,0,0,0,0,0,0,11,0,2,7,5,0,1,0,1,0.8,17,0,0,0,8,8,99,92,1,1,0
"64",50248,3,1,46.44,8.8,52,45,0,0,8,0,0,5,0,0,13,1,1,11,2007,77,33.85,13.6,0,1,2,1,1,95.3767794175264,5.92307692307692,4.35670882668959,4.06753647010479,4.06753647010478,2.29632796166238,2.464,2.464,1.92220393362104,10,0,0,0,5,0,0,0,0,0.25,18,0,1,0,5,5,57,49,0,0,1
"65",21720,8,3,55.91,7.2,48,41,1,1,7,1,1,3,1,1,4,1,0,6,2016,2,6.84,17.8,0,1,6,0,0,33.5155506632586,0.5,1.09861228866811,0.190642508913629,0.190642508913629,0.619737201922429,0.230837004405286,0.230837004405286,0.609165343724426,8,1,0,3,3,0,0,0,0,0.35,8,0,0,0,6,6,47,43,0,0,0
"66",20380,3,1,11.58,13.9,68,59,1,1,9,1,1,12,1,1,5,1,3,10,2015,28,36.08,12.7,0,1,3,0,0,84.5137036138734,5.6,3.36729582998647,2.36880426504189,2.36880426504189,1.86425333269521,1.67254210732472,1.67254210732472,1.44590295304646,1,1,0,0,13,0,0,0,0,0.7,24,2,0,0,8,8,130,118,0,0,0
"67",47060,1,1,34.59,9.2,25,23,0,0,3,0,0,5,0,0,25,0,1,7,1995,25,22.82,13.7,0,0,10,1,1,82.8215078639527,1,3.25809653802148,0.808569809960344,0.808569809960344,1.3545861692507,0.576456310679612,0.576456310679612,0.98701272876152,9,0,0,1,5,0,0,0,0,0.3,7,0,0,0,2,2,45,37,0,0,0
"68",48645,1,1,0.08,16.2,96,84,1,1,12,0,0,7,3,0,4,2,4,9,2016,12,19.6,17,1,1,3,1,1,69.4220041418683,3,2.56494935746154,1.14385505348177,1.14385505348177,1.44691130279734,2.24675324675325,2.24675324675325,2.1795022587155,11,0,0,2,7,0,0,0,0,0.45,26,1,0,1,11,11,110,100,1,1,0
"69",9430,5,1,21.06,12.3,61,54,0,0,8,0,0,6,0,0,5,1,3,15,2015,4,27.11,14.1,0,0,13,0,0,46.1239948506502,0.8,1.6094379124341,0.338400609291698,0.338400609291699,0.891041400432388,0.81063122923588,0.81063122923588,1.51441330191675,11,0,0,0,6,0,0,0,0,0.3,14,0,0,0,6,6,73,67,0,0,1
"70",2208,4,1,-20.24,17.8,66,57,3,1,7,2,1,9,12,1,3,2,1,8,2017,3,23.97,15.3,0,1,4,0,0,40.5371368868822,1,1.38629436111989,0.393098384728341,0.393098384728341,0.849511663704673,0.460567823343849,0.460567823343849,0.872094245814001,6,0,0,5,9,0,0,0,0,0.7,28,0,1,0,9,9,131,118,0,0,0
"71",36301,2,1,-21.93,20.5,144,128,0,0,17,0,0,9,10,0,0,1,8,0,2020,1,35.68,12.9,0,1,5,3,1,24.2924308289334,0,0.693147180559945,5.17834394904459,NA,6.94425026560549,27.5,NA,27.5,2,1,2,2,10,0,0,0,0,0.8,20,1,1,1,13,13,103,95,0,0,0
"72",30916,3,1,32.56,10,41,37,0,0,5,0,0,7,1,0,28,0,1,10,1992,141,22.41,13.9,0,1,4,1,1,98.1576148808746,5.03571428571429,4.95582705760126,6.37400906002265,6.37400906002266,2.71765728961258,2.77430555555556,2.77430555555556,1.60717436483211,5,0,0,3,7,0,0,0,0,0.5,9,1,0,0,4,4,76,70,0,0,0
"73",9188,2,1,13.95,15,118,102,2,1,15,0,0,10,3,0,5,3,4,6,2015,7,31.41,14.5,0,1,5,0,0,57.8770126308327,1.4,2.07944154167984,0.592201066260472,0.592201066260473,1.15125193031735,0.42731781762686,0.42731781762686,1.12266546577776,0,0,0,0,12,0,4,0,1,0.8,20,0,0,1,13,13,150,139,1,1,0
"74",48686,5,2,62.34,6.8,63,54,1,1,9,0,0,7,3,0,4,3,1,12,2016,22,14.29,17,1,1,3,1,1,80.8149405772496,5.5,3.13549421592915,2.09706759804992,2.09706759804992,1.7687608559155,2.41420118343195,2.41420118343195,2.20487585598692,12,0,0,0,7,0,0,0,0,0.35,20,1,0,0,6,6,101,95,0,0,0
